RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
394705,33,"Indianapolis, IN",Msa,IN,5000,5033.3333,5166.6667,5200,5200,5066.6667,5033.3333,5000,5000,5000,5000,5000,5000,5133.3333,5466.6667,5500,5367,5033.6667,5000.3333,5000,5000,5000,5000,5000,5033.3333,5033.3333,5066.6667,5366.6667,5400,6000,5966.6667,6100,5500,5200,5033.3333,5033.3333,5366.6667,7033.3333,8666.6667,10000,10000
395059,34,"San Jose, CA",Msa,CA,,38666.6667,41666.3333,46666.3333,44666.3333,37687.3333,32687.3333,34687.3333,35000,32000,25333.3333,22000,24999.8333,31666.5,35333.1667,34000,30666.6667,28999.6667,26999.6667,26999.6667,26296,24803,22875.6667,21580,24739.6667,23633.6667,26966.6667,27283.3333,33279.3333,38121,41471,43508.3333,42000,41925.6667,36925.6667,39759,42500,48850.1667,49350.1667,49683.5,50000
394355,35,"Austin, TX",Msa,TX,7005,7671.6667,7000,7033.3333,7033.3333,7033.3333,6830,6163.3333,6130,5633.3333,5300,5033,5199.6667,5366.3333,5666.6667,5800,5966.6667,5766.6667,5600,5266.6667,5133.3333,5000,5000,5300,6150,6316.6667,6350,5833.3333,6666.6667,8000,9333.3333,9833.3333,9833.3333,9833.3333,10000,13000,16333.3333,21333.3333,23333.3333,23833.3333,22166.6667
395194,36,"Virginia Beach, VA",Msa,VA,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5033.3333,5066.6667,5066.6667,5033.3333,5000,5000,5000,4990.6667,4990.6667,4990.6667,5000,5000,5000,5000,5000,5333.3333,5500,5533.3333,5200.3333,5033.6667,5000.3333,5000,5666.6667,7333.3333,8833.3333,9833.3333,8833.3333
394902,37,"Nashville, TN",Msa,TN,6662,6977.8333,7682.5,8682.5,8700,7966.6667,6966.6667,6000,5366.6667,5033.3333,5000,5000,5000,5333.3333,5666.6667,6000,6000,5700,5400,5200,5200,5166.6667,5033.3333,5666.6667,6000,6000,5333.3333,5333.3333,5826.5,6859.8333,7526.5,8400,8433.3333,8933.6667,8667,9267,9433.3333,10000,10000,10300,10300
395005,38,"Providence, RI",Msa,RI,10000,10000,10000,10000,10000,10000,10000,10000,10000,9999.8333,9699.8333,9699.8333,9700,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,12666.6667,14500,16833.3333,18500
394862,39,"Milwaukee, WI",Msa,WI,5033.3333,5366.6667,5866.6667,7466.6667,7766.6667,7566.6667,5966.6667,5366.6667,5066.6667,5033.3333,5000,5000,5000,5033.3333,5833.3333,6666.6667,7500,6950,6150,5316.6667,5066.6667,5033.3333,5000,5333.3333,6166.6667,6333.3333,7366.6667,8033.3333,9533.3333,9066.6667,8583.3333,6950,6083.3333,5066.6667,5166.6667,5466.6667,6133.3333,7383.6667,8717,9417,9666.6667
394714,40,"Jacksonville, FL",Msa,FL,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4966.6667,4966.6667,4966.6667,5000,5000,5000,5000,5000,5000,5000,5166.6667,6000,7366.6667,8866.6667,9700,10000
394849,41,"Memphis, TN",Msa,TN,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5033.3333,5033.3333,5066.6667,5066.6667,5066.6667,5033.3333,5000,5000,5000,5000,5000,5033.3333,5033.3333,5033.3333,5033.3333,5033.3333,5366.5,5366.5,5399.8333,5100,5100,5400,5533.3333,6833.3333,6916.6667,8116.6667,8450,9700
394935,42,"Oklahoma City, OK",Msa,OK,4200,4500,4766.6667,4900,4933.3333,4933.3333,4966.6667,4911.6667,4911.6667,4745,4500,4425,4591.6667,4891.6667,5000,5000,5000,5000,5000,5000,4866.6667,4366.6667,4133.3333,4266.6667,4766.6667,4966.6667,4933.6667,4933.6667,4967,5000,5000,5000,5000,5000,5000,5000,5700,6366.6667,7400,7166.6667,7166.6667
