"RegionID","SizeRank","RegionName","RegionType","StateName","Date","MedianDaystoPending"
394735,30,"Kansas City, MO","Msa","MO","4/30/2018",15
394775,31,"Las Vegas, NV","Msa","NV","4/30/2018",30
394492,32,"Columbus, OH","Msa","OH","4/30/2018",5
394705,33,"Indianapolis, IN","Msa","IN","4/30/2018",13
395059,34,"San Jose, CA","Msa","CA","4/30/2018",9
394355,35,"Austin, TX","Msa","TX","4/30/2018",10
395194,36,"Virginia Beach, VA","Msa","VA","4/30/2018",36
394902,37,"Nashville, TN","Msa","TN","4/30/2018",12
395005,38,"Providence, RI","Msa","RI","4/30/2018",16
394862,39,"Milwaukee, WI","Msa","WI","4/30/2018",7
394714,40,"Jacksonville, FL","Msa","FL","4/30/2018",29
394849,41,"Memphis, TN","Msa","TN","4/30/2018",20
394935,42,"Oklahoma City, OK","Msa","OK","4/30/2018",30
394807,43,"Louisville-Jefferson County, KY","Msa","KY","4/30/2018",11
394669,44,"Hartford, CT","Msa","CT","4/30/2018",14
395022,45,"Richmond, VA","Msa","VA","4/30/2018",8
394910,46,"New Orleans, LA","Msa","LA","4/30/2018",27
394425,47,"Buffalo, NY","Msa","NY","4/30/2018",13
395012,48,"Raleigh, NC","Msa","NC","4/30/2018",6
394388,49,"Birmingham, AL","Msa","AL","4/30/2018",11
395053,50,"Salt Lake City, UT","Msa","UT","4/30/2018",6
395031,51,"Rochester, NY","Msa","NY","4/30/2018",14
394640,52,"Grand Rapids, MI","Msa","MI","4/30/2018",6
395167,53,"Tucson, AZ","Msa","AZ","4/30/2018",16
395169,55,"Tulsa, OK","Msa","OK","4/30/2018",32
394619,56,"Fresno, CA","Msa","CA","4/30/2018",12
395238,57,"Worcester, MA","Msa","MA","4/30/2018",8
394415,58,"Stamford, CT","Msa","CT","4/30/2018",17
394312,59,"Albuquerque, NM","Msa","NM","4/30/2018",13
394308,60,"Albany, NY","Msa","NY","4/30/2018",19
394938,61,"Omaha, NE","Msa","NE","4/30/2018",11
394908,62,"New Haven, CT","Msa","CT","4/30/2018",16
394357,63,"Bakersfield, CA","Msa","CA","4/30/2018",26
394753,64,"Knoxville, TN","Msa","TN","4/30/2018",15
394653,65,"Greenville, SC","Msa","SC","4/30/2018",10
394952,66,"Ventura, CA","Msa","CA","4/30/2018",14
394318,67,"Allentown, PA","Msa","PA","4/30/2018",43
394561,68,"El Paso, TX","Msa","TX","4/30/2018",51
394367,69,"Baton Rouge, LA","Msa","LA","4/30/2018",51
394521,70,"Dayton, OH","Msa","OH","4/30/2018",13
394843,71,"McAllen, TX","Msa","TX","4/30/2018",43
394486,72,"Columbia, SC","Msa","SC","4/30/2018",38
394648,73,"Greensboro, NC","Msa","NC","4/30/2018",35
394304,74,"Akron, OH","Msa","OH","4/30/2018",33
753906,75,"North Port-Sarasota-Bradenton, FL","Msa","FL","4/30/2018",50
394798,76,"Little Rock, AR","Msa","AR","4/30/2018",27
395134,77,"Stockton, CA","Msa","CA","4/30/2018",11
394457,78,"Charleston, SC","Msa","SC","4/30/2018",16
395143,79,"Syracuse, NY","Msa","NY","4/30/2018",36
394484,80,"Colorado Springs, CO","Msa","CO","4/30/2018",7
395235,81,"Winston-Salem, NC","Msa","NC","4/30/2018",36
395224,82,"Wichita, KS","Msa","KS","4/30/2018",21
395115,83,"Springfield, MA","Msa","MA","4/30/2018",12
394440,84,"Fort Myers, FL","Msa","FL","4/30/2018",53
394399,85,"Boise City, ID","Msa","ID","4/30/2018",6
395160,86,"Toledo, OH","Msa","OH","4/30/2018",13
394816,87,"Madison, WI","Msa","WI","4/30/2018",28
394766,88,"Lakeland, FL","Msa","FL","4/30/2018",19
394931,89,"Ogden, UT","Msa","UT","4/30/2018",7
394528,90,"Daytona Beach, FL","Msa","FL","4/30/2018",20
394531,91,"Des Moines, IA","Msa","IA","4/30/2018",14
394711,92,"Jackson, MS","Msa","MS","4/30/2018",32
394352,94,"Augusta, GA","Msa","GA","4/30/2018",21
394666,96,"Harrisburg, PA","Msa","PA","4/30/2018",10
395006,100,"Provo, UT","Msa","UT","4/30/2018",9
394602,159,"Fort Collins, CO","Msa","CO","4/30/2018",8
394913,1,"New York, NY","Msa","NY","5/31/2018",36
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","5/31/2018",15
394463,3,"Chicago, IL","Msa","IL","5/31/2018",14
394514,4,"Dallas-Fort Worth, TX","Msa","TX","5/31/2018",20
394974,5,"Philadelphia, PA","Msa","PA","5/31/2018",28
394692,6,"Houston, TX","Msa","TX","5/31/2018",16
395209,7,"Washington, DC","Msa","DC","5/31/2018",26
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","5/31/2018",37
394347,9,"Atlanta, GA","Msa","GA","5/31/2018",10
394404,10,"Boston, MA","Msa","MA","5/31/2018",8
395057,11,"San Francisco, CA","Msa","CA","5/31/2018",12
394532,12,"Detroit, MI","Msa","MI","5/31/2018",7
395025,13,"Riverside, CA","Msa","CA","5/31/2018",17
394976,14,"Phoenix, AZ","Msa","AZ","5/31/2018",25
395078,15,"Seattle, WA","Msa","WA","5/31/2018",7
394865,16,"Minneapolis-St Paul, MN","Msa","MN","5/31/2018",17
395056,17,"San Diego, CA","Msa","CA","5/31/2018",15
395121,18,"St. Louis, MO","Msa","MO","5/31/2018",18
395148,19,"Tampa, FL","Msa","FL","5/31/2018",19
394358,20,"Baltimore, MD","Msa","MD","5/31/2018",29
394530,21,"Denver, CO","Msa","CO","5/31/2018",6
394982,22,"Pittsburgh, PA","Msa","PA","5/31/2018",27
394998,23,"Portland, OR","Msa","OR","5/31/2018",8
394458,24,"Charlotte, NC","Msa","NC","5/31/2018",9
395045,25,"Sacramento, CA","Msa","CA","5/31/2018",10
395055,26,"San Antonio, TX","Msa","TX","5/31/2018",31
394943,27,"Orlando, FL","Msa","FL","5/31/2018",16
394466,28,"Cincinnati, OH","Msa","OH","5/31/2018",7
394475,29,"Cleveland, OH","Msa","OH","5/31/2018",31
394735,30,"Kansas City, MO","Msa","MO","5/31/2018",16
394775,31,"Las Vegas, NV","Msa","NV","5/31/2018",10
394492,32,"Columbus, OH","Msa","OH","5/31/2018",5
394705,33,"Indianapolis, IN","Msa","IN","5/31/2018",7
395059,34,"San Jose, CA","Msa","CA","5/31/2018",10
394355,35,"Austin, TX","Msa","TX","5/31/2018",11
395194,36,"Virginia Beach, VA","Msa","VA","5/31/2018",42
394902,37,"Nashville, TN","Msa","TN","5/31/2018",14
395005,38,"Providence, RI","Msa","RI","5/31/2018",16
394862,39,"Milwaukee, WI","Msa","WI","5/31/2018",10
394714,40,"Jacksonville, FL","Msa","FL","5/31/2018",29
394849,41,"Memphis, TN","Msa","TN","5/31/2018",25
394935,42,"Oklahoma City, OK","Msa","OK","5/31/2018",20
394807,43,"Louisville-Jefferson County, KY","Msa","KY","5/31/2018",9
394669,44,"Hartford, CT","Msa","CT","5/31/2018",16
395022,45,"Richmond, VA","Msa","VA","5/31/2018",12
394910,46,"New Orleans, LA","Msa","LA","5/31/2018",27
394425,47,"Buffalo, NY","Msa","NY","5/31/2018",12
395012,48,"Raleigh, NC","Msa","NC","5/31/2018",8
394388,49,"Birmingham, AL","Msa","AL","5/31/2018",13
395053,50,"Salt Lake City, UT","Msa","UT","5/31/2018",11
395031,51,"Rochester, NY","Msa","NY","5/31/2018",14
394640,52,"Grand Rapids, MI","Msa","MI","5/31/2018",6
395167,53,"Tucson, AZ","Msa","AZ","5/31/2018",16
395169,55,"Tulsa, OK","Msa","OK","5/31/2018",26
394619,56,"Fresno, CA","Msa","CA","5/31/2018",10
395238,57,"Worcester, MA","Msa","MA","5/31/2018",9
394415,58,"Stamford, CT","Msa","CT","5/31/2018",27
394312,59,"Albuquerque, NM","Msa","NM","5/31/2018",13
394308,60,"Albany, NY","Msa","NY","5/31/2018",19
394938,61,"Omaha, NE","Msa","NE","5/31/2018",10
394908,62,"New Haven, CT","Msa","CT","5/31/2018",21
394357,63,"Bakersfield, CA","Msa","CA","5/31/2018",22
394753,64,"Knoxville, TN","Msa","TN","5/31/2018",14
