RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394735,30,"Kansas City, MO",Msa,MO,60.0,61.0,54.0,47.0,39.0,36.0,34.0,36.0,41.0,42.0,45.0,47.0,52.0,56.0,54.0,48.0,40.0,35.0,35.0,36.0,38.0,40.0,42.0,49.0,56.0,58.0,52.0,44.0,39.0,38.0,36.0,33.0,31.0,29.0,28.0,29.0,"","","","","","",""
394775,31,"Las Vegas, NV",Msa,NV,59.0,60.0,57.0,58.0,51.0,43.0,30.0,32.0,34.0,37.0,40.0,45.0,52.0,54.0,55.0,53.0,52.0,50.0,51.0,53.0,55.0,57.0,59.0,62.0,63.0,61.0,52.0,45.0,42.0,44.0,47.0,44.0,42.0,39.0,41.0,43.0,38.0,29.0,20.0,16.0,14.0,13.0,13.0
394492,32,"Columbus, OH",Msa,OH,43.0,42.0,37.0,29.0,23.0,20.0,21.0,22.0,25.0,29.0,33.0,38.0,43.0,44.0,39.0,32.0,26.0,23.0,22.0,24.0,26.0,29.0,33.0,38.0,42.0,41.0,34.0,27.0,23.0,23.0,20.0,19.0,19.0,18.0,19.0,21.0,"","","","","","",""
394705,33,"Indianapolis, IN",Msa,IN,63.0,61.0,56.0,49.0,39.0,32.0,26.0,28.0,32.0,36.0,40.0,46.0,51.0,55.0,51.0,43.0,34.0,30.0,29.0,31.0,32.0,34.0,37.0,43.0,49.0,51.0,44.0,36.0,31.0,29.0,27.0,25.0,23.0,21.0,22.0,24.0,22.0,19.0,13.0,11.0,10.0,9.0,9.0
395059,34,"San Jose, CA",Msa,CA,24.0,22.0,20.0,17.0,16.0,16.0,19.0,23.0,26.0,29.0,32.0,38.0,41.0,41.0,35.0,29.0,27.0,27.0,31.0,35.0,39.0,40.0,42.0,45.0,48.0,42.0,31.0,25.0,26.0,31.0,32.0,33.0,30.0,30.0,30.0,34.0,"","","","","","",""
394355,35,"Austin, TX",Msa,TX,63.0,59.0,51.0,40.0,35.0,33.0,35.0,39.0,45.0,49.0,53.0,58.0,61.0,58.0,49.0,40.0,36.0,35.0,36.0,38.0,42.0,44.0,47.0,50.0,53.0,50.0,41.0,33.0,31.0,32.0,33.0,32.0,31.0,28.0,27.0,27.0,"","","","","","",""
395194,36,"Virginia Beach, VA",Msa,VA,100.0,104.0,97.0,89.0,87.0,86.0,82.0,78.0,80.0,86.0,91.0,96.0,97.0,96.0,93.0,86.0,78.0,71.0,70.0,73.0,76.0,79.0,84.0,97.0,100.0,105.0,101.0,107.0,106.0,108.0,104.0,98.0,85.0,70.0,61.0,52.0,51.0,48.0,41.0,26.0,19.0,17.0,21.0
394902,37,"Nashville, TN",Msa,TN,45.0,43.0,39.0,34.0,33.0,35.0,36.0,38.0,40.0,43.0,45.0,50.0,55.0,58.0,54.0,48.0,43.0,43.0,47.0,51.0,55.0,59.0,63.0,68.0,68.0,67.0,64.0,59.0,56.0,52.0,52.0,55.0,55.0,54.0,51.0,52.0,"","","","","","",""
395005,38,"Providence, RI",Msa,RI,69.0,68.0,64.0,56.0,48.0,42.0,41.0,45.0,53.0,55.0,61.0,63.0,70.0,74.0,71.0,63.0,53.0,50.0,50.0,52.0,52.0,54.0,56.0,61.0,67.0,68.0,63.0,56.0,51.0,45.0,43.0,38.0,36.0,32.0,32.0,35.0,"","","","","","",""
394862,39,"Milwaukee, WI",Msa,WI,61.0,58.0,50.0,41.0,36.0,32.0,31.0,30.0,31.0,32.0,39.0,46.0,49.0,"",44.0,48.0,51.0,54.0,52.0,51.0,49.0,51.0,57.0,63.0,73.0,83.0,80.0,65.0,51.0,47.0,45.0,42.0,42.0,45.0,48.0,52.0,56.0,57.0,53.0,48.0,41.0,35.0,30.0
394714,40,"Jacksonville, FL",Msa,FL,70.0,66.0,62.0,58.0,56.0,55.0,54.0,55.0,57.0,60.0,63.0,65.0,68.0,69.0,68.0,66.0,61.0,58.0,54.0,53.0,55.0,56.0,57.0,58.0,61.0,61.0,56.0,51.0,48.0,50.0,49.0,47.0,44.0,41.0,38.0,37.0,36.0,31.0,24.0,17.0,14.0,13.0,13.0
