Cost of Living Index,mortgage_rate,date,nielsen_rank,hotness_rank,hotness_rank_yy,supply_score,demand_score,median_days_on_market_yy,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price_yy,city_name,state_abb,city_state,tax_rank,Effective_Total_Tax_Med_US_Household,Annual_Total_Tax_Med_US_Household,Per_Diff_State_US_Avg,Annual_Total_Tax_State_Household,Adjusted_Overall_Rank
106.6,2.18,2021-07-01,138,364,202,97.97083069,35.82752061,-0.6,0.68,0.8235,0.461717277,austin,tx,austin_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
94.7,2.18,2021-07-01,212,1541,-125,5.263157895,2.473050095,-0.076923077,0,0.2549,0.034885462,lincoln,ne,lincoln_ne,46,13.27%,"$8,386 ",22.82%,"$7,214 ",38
94.1,2.18,2021-07-01,1234,555,-153,28.66201649,87.95180723,-0.266666667,0.566037736,1.6275,0.206130703,roanoke,va,roanoke_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
84.2,2.18,2021-07-01,984,765,377,66.70894103,34.55928979,-0.578947368,0.448275862,0.8235,0.100628931,fort smith,ar,fort smith_ar,30,11.28%,"$7,134 ",4.48%,"$5,217 ",18
87.2,2.18,2021-07-01,232,414,-63,82.37159163,46.16360178,-0.428571429,0.170731707,0.9412,-0.067005399,rockford,il,rockford_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
88.2,2.18,2021-07-01,1150,489,-7,26.5060241,96.13189601,-0.338235294,0.842105263,2.0588,0.174043511,memphis,tn,memphis_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
86.6,2.18,2021-07-01,1212,1280,-293,13.12618897,41.85161699,-0.112903226,0.642857143,0.902,0.247553816,ottawa,il,ottawa_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
99.2,2.18,2021-07-01,209,586,108,65.56753329,49.08053266,-0.34,0.724137931,0.9804,-0.025716834,richmond,va,richmond_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
92.7,2.18,2021-07-01,488,449,406,58.14838301,66.70894103,-0.44,0.90625,1.1961,0.354011961,san antonio,tx,san antonio_tx,40,12.79%,"$8,083 ",18.37%,"$7,212 ",34
,2.18,2021-07-01,780,887,-238,16.7406468,75.967026,-0.271428571,0.408163265,1.3529,0.01852538,baraboo,wi,baraboo_wi,45,13.22%,"$8,357 ",22.39%,"$7,586 ",37
91,2.18,2021-07-01,123,433,212,62.84083703,63.91883323,-0.398230088,0.638888889,1.1569,-0.179104478,greensboro,nc,greensboro_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
178.6,2.18,2021-07-01,42,537,-343,91.05897273,27.20355105,-0.333333333,-0.075,0.7255,0.141428571,san francisco,ca,san francisco_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
88.1,2.18,2021-07-01,912,811,122,45.97336715,52.69499049,-0.5,0.394736842,1.0392,-0.058072701,frankfort,ky,frankfort_ky,39,12.48%,"$7,887 ",15.51%,"$6,115 ",30
98.9,2.18,2021-07-01,782,584,-423,42.23208624,72.47939125,-0.22,0.064516129,1.2941,0.317617237,allentown,pa,allentown_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
,2.18,2021-07-01,1357,752,95,35.1934052,67.08941027,-0.25,1.137931034,1.2157,0.109941345,fort morgan,co,fort morgan_co,9,8.54%,"$5,396 ",-20.98%,"$6,611 ",13
,2.18,2021-07-01,1244,520,217,96.70259987,23.08180089,-0.636363636,0.25,0.6863,-0.42832618,emporia,ks,emporia_ks,47,13.43%,"$8,488 ",24.30%,"$7,294 ",36
,2.18,2021-07-01,1370,1164,-80,42.23208624,24.09638554,-0.376,0.5,0.7059,0.316618547,thomaston,ga,thomaston_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
84.7,2.18,2021-07-01,1374,353,-285,42.23208624,93.59543437,-0.071428571,0.532258065,1.8627,0.056097561,terre haute,in,terre haute_in,34,11.75%,"$7,430 ",8.81%,"$6,239 ",28
93.5,2.18,2021-07-01,420,1502,-154,15.02853519,2.536461636,-0.240875912,0.3,0.2549,0.067690659,iowa city,ia,iowa city_ia,44,13.18%,"$8,334 ",22.05%,"$7,053 ",35
,2.18,2021-07-01,1148,1100,226,50.15852885,24.22320862,-0.597826087,0.44,0.7059,-0.149659864,vincennes,in,vincennes_in,34,11.75%,"$7,430 ",8.81%,"$6,239 ",28
91.7,2.18,2021-07-01,367,919,56,35.1934052,55.61192137,-0.282051282,1.076923077,1.0588,0.053344993,jacksonville,nc,jacksonville_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
89.9,2.18,2021-07-01,619,1490,6,6.404565631,13.31642359,-0.381818182,0.866666667,0.549,0.031446541,houma,la,houma_la,23,10.63%,"$6,723 ",-1.54%,"$5,239 ",19
,2.18,2021-07-01,1221,484,533,45.97336715,76.91819911,-0.608247423,0.707317073,1.3725,0.432912844,paris,tn,paris_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
88,2.18,2021-07-01,521,76,89,96.70259987,78.56689918,-0.526315789,0.651162791,1.3922,0.068168576,little rock,ar,little rock_ar,30,11.28%,"$7,134 ",4.48%,"$5,217 ",18
91.8,2.18,2021-07-01,404,19,13,93.97590361,95.43436906,-0.424657534,0.545454545,2,0.061799642,burlington,nc,burlington_nc,22,10.61%,"$6,710 ",-1.73%,"$5,742 ",17
86,2.18,2021-07-01,871,795,268,9.955611921,89.72733037,-0.477477477,1.073170732,1.6667,0.099411704,kingsport,tn,kingsport_tn,10,8.72%,"$5,513 ",-19.27%,"$4,551 ",4
,2.18,2021-07-01,1060,1041,-123,45.97336715,34.81293595,-0.333333333,0.555555556,0.8235,-0.081402258,willmar,mn,willmar_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
,2.18,2021-07-01,1082,427,318,87.31769182,39.94927077,-0.541284404,0.451612903,0.8824,-0.218496485,sedalia,mo,sedalia_mo,28,11.25%,"$7,111 ",4.14%,"$6,023 ",16
102.2,2.18,2021-07-01,1385,209,5,62.84083703,92.96131896,-0.298969072,0.788461538,1.8235,0.191429716,colorado springs,co,colorado springs_co,9,8.54%,"$5,396 ",-20.98%,"$6,611 ",13
100.3,2.18,2021-07-01,363,1031,-776,70.7038681,10.84337349,-0.243902439,-0.358974359,0.4902,0.344961296,boise city,id,boise city_id,8,8.43%,"$5,329 ",-21.96%,"$4,870 ",6
102.1,2.18,2021-07-01,960,890,363,42.23208624,50.28535193,-0.59375,0.75862069,1,-0.225373311,charlottesville,va,charlottesville_va,25,10.73%,"$6,783 ",-0.66%,"$7,955 ",26
