city,state,month,year,supply_score,demand_score,median_listing_price_yy,median_days_on_market_yy,unique_viewers_per_property_yy,mortgage_rate,date,date_month_num,hotness_rank_yy,hotness_rank,class,city_state,latitude,longitude
binghamton,ny,July,2021,50.15852885,39.06150919,0.144038156,-0.186813187,0.222222222,2.18,2021-07-01,7,-565,943,3,"binghamton, ny",42.146307,-75.886517
huntington,in,July,2021,87.31769182,95.18072289,0.277877375,-0.431818182,0.364864865,2.18,2021-07-01,7,19,40,0,"huntington, in",40.881128,-85.505438
toledo,oh,July,2021,78.31325301,32.33988586,-0.0367397339999999,-0.325581395,0.111111111,2.18,2021-07-01,7,-308,637,3,"toledo, oh",41.642,-83.5438
hickory,nc,July,2021,18.4527584,94.22954978,-0.029326083,-0.371069182,0.021276596,2.18,2021-07-01,7,-105,606,2,"hickory, nc",35.75757,-81.328858
greenwood,sc,July,2021,26.506024100000005,85.03487635,-0.206666667,-0.567307692,1.548387097,2.18,2021-07-01,7,605,626,2,"greenwood, sc",34.175802,-82.156211
appleton,wi,July,2021,74.69879518,87.76157261,-0.092942659,-0.423076923,0.223880597,2.18,2021-07-01,7,23,158,0,"appleton, wi",44.277325,-88.397649
murray,ky,July,2021,35.1934052,58.08497146,-0.1214953269999999,-0.683018868,0.931034483,2.18,2021-07-01,7,470,882,2,"murray, ky",36.609915,-88.303249
birmingham,al,July,2021,53.96322131,26.12555485,0.233004386,-0.513513514,0.423076923,2.18,2021-07-01,7,127,1047,3,"birmingham, al",33.519,-86.8014
kokomo,in,July,2021,70.7038681,61.95307546,-0.2338794,-0.261904762,0.115384615,2.18,2021-07-01,7,-266,377,0,"kokomo, in",40.49884,-86.145273
seymour,in,July,2021,23.7159163,80.72289157,0.007427056,-0.282442748,0.321428571,2.18,2021-07-01,7,-248,717,2,"seymour, in",38.957133,-85.882477
syracuse,ny,July,2021,5.707038681,60.24096386,0.035242291,-0.006993007,0.14,2.18,2021-07-01,7,-514,1169,2,"syracuse, ny",43.0459,-76.1528
el centro,ca,July,2021,87.31769182,54.78757134,0.1580979119999999,-0.418604651,-0.052631579,2.18,2021-07-01,7,-203,299,0,"el centro, ca",32.789332,-115.566508
texarkana,tx,July,2021,45.97336715,47.30500951,-0.112149533,-0.254901961,0.75,2.18,2021-07-01,7,-122,881,2,"texarkana, tx",33.407371,-94.118245
newberry,sc,July,2021,89.22003805,99.42929613,0.232531665,-0.698113208,1.875,2.18,2021-07-01,7,782,23,0,"newberry, sc",34.284661,-81.615741
youngstown,oh,July,2021,28.66201649,47.43183259,0.00907441,-0.557788945,0.814814815,2.18,2021-07-01,7,226,1081,2,"youngstown, oh",41.0986,-80.6474
iron mountain,mi,July,2021,42.23208624,41.72479391,-0.0078832119999999,-0.178947368,0.916666667,2.18,2021-07-01,7,-214,1000,2,"iron mountain, mi",45.821894,-88.068257
florence,al,July,2021,58.14838301,38.23715916,-0.255783212,-0.51048951,0.833333333,2.18,2021-07-01,7,348,836,3,"florence, al",34.830547,-87.655985
milwaukee,wi,July,2021,31.83259353,70.13316424,-0.104781863,-0.312,0.084745763,2.18,2021-07-01,7,-379,758,2,"milwaukee, wi",43.0343,-87.9151
hinesville,ga,July,2021,78.31325301,52.88522511,0.297648013,-0.477477477,2.3125,2.18,2021-07-01,7,731,385,3,"hinesville, ga",31.8488,-81.5971
asheville,nc,July,2021,23.7159163,51.934052,0.13336297,-0.381578947,0.485714286,2.18,2021-07-01,7,-92,1086,2,"asheville, nc",35.597075,-82.556533
lynchburg,va,July,2021,42.23208624,64.23589093,-0.06864436,-0.417910448,0.2,2.18,2021-07-01,7,-102,687,2,"lynchburg, va",37.386228,-79.171464
parkersburg,wv,July,2021,31.83259353,40.26632847,0.096836669,-0.3768115939999999,0.323529412,2.18,2021-07-01,7,-199,1120,1,"parkersburg, wv",39.264433,-81.535412
las cruces,nm,July,2021,24.54026633,3.170577045,0.145194274,-0.233333333,0.071428571,2.18,2021-07-01,7,-235,1445,1,"las cruces, nm",32.321641,-106.746034
coos bay,or,July,2021,41.15409004,59.03614458,0.04491018,-0.545454545,0.076923077,2.18,2021-07-01,7,-18,788,2,"coos bay, or",43.362812,-124.233101
weirton,wv,July,2021,41.15409004,67.21623335,0.11311054,-0.420289855,0.148148148,2.18,2021-07-01,7,-132,663,2,"weirton, wv",40.413673,-80.568307
canton,oh,July,2021,35.1934052,97.65377299,-0.026329647,-0.214953271,1.1698113209999998,2.18,2021-07-01,7,-88,376,2,"canton, oh",40.827,-81.3853
fremont,oh,July,2021,53.96322131,90.93214965,0.261715934,-0.2087912089999999,0.16,2.18,2021-07-01,7,-213,282,0,"fremont, oh",41.349792,-83.118095
longview,tx,July,2021,50.15852885,83.57641091,0.805663809,-0.417322835,0.54,2.18,2021-07-01,7,149,365,2,"longview, tx",32.526854,-94.72328
fremont,ne,July,2021,24.54026633,32.46670894,0.167222487,-0.115384615,0.205882353,2.18,2021-07-01,7,-640,1263,1,"fremont, ne",41.441637,-96.494468
somerset,ky,July,2021,24.54026633,33.03741281,0.445722861,-0.4802259889999999,0.576923077,2.18,2021-07-01,7,23,1257,1,"somerset, ky",37.073853,-84.604362
